district,week_start,casos,p_inc100k,currently_in_outbreak,continuation_risk,emergence_risk,casos_roll4_mean,precip_roll4_sum,tempmed,umidmed,population_total,lat,lon
Colombo,2026-05-11,308,13.251022114148949,True,0.9954113120679857,,286.75,361.18999999999994,27.457142857142856,86.58428571428571,2324349,6.9271,79.8612
Kalmune,2026-05-11,24,22.476119123431353,True,0.9936343759370975,,31.5,136.45,28.88,81.76,106780,7.4098,81.8203
Matara,2026-05-11,93,11.424387751090844,True,0.978663907959963,,88.75,233.21000000000012,28.125714285714285,85.14428571428572,814048,5.9549,80.555
Gampaha,2026-05-11,213,9.2414504651747,False,0.9608769371688218,0.9849937698978777,189.5,361.18999999999994,27.457142857142856,86.58428571428571,2304833,7.084,80.0098
Kalutara,2026-05-11,157,12.848337245120085,True,0.9588037511430701,,110.25,390.13999999999993,27.810000000000002,86.0957142857143,1221948,6.5854,80.1289
Ratnapura,2026-05-11,168,15.441077125422906,True,0.8942496501812238,,134.5,244.18999999999988,25.505714285714284,91.35714285714286,1088007,6.6828,80.3992
Hambanthota,2026-05-11,58,9.66822969713437,False,0.46797033640874375,0.9310924013306182,33.5,208.55999999999997,28.648571428571426,84.22,599903,6.1429,81.1212
Galle,2026-05-11,104,9.780558131311516,False,0.46347581469445487,0.9318224771256077,74.0,304.59000000000003,28.782857142857143,82.84,1063334,6.0535,80.221
Kandy,2026-05-11,135,9.81545490634602,False,0.3559543051851509,0.9302375326173244,73.25,265.61999999999995,25.684285714285714,89.89,1375382,7.2906,80.6337
Kegalle,2026-05-11,73,8.683777276577116,False,0.28316239553957895,0.872050713937437,49.25,265.61999999999995,25.684285714285714,89.89,840648,7.2513,80.3464
Batticaloa,2026-05-11,45,8.545921031891478,False,0.21548307443630865,0.9308942298502815,35.25,136.45,28.88,81.76,526567,7.7102,81.6924
Monaragala,2026-05-11,19,4.21231859317427,False,0.15586225101565823,0.514967533435607,23.0,193.94999999999993,25.505714285714284,88.34,451058,6.8728,81.3509
Trincomalee,2026-05-11,20,5.269522923742099,False,0.030012660038006414,0.6451349769376202,23.5,190.91999999999987,28.49857142857143,83.73428571428572,379541,8.5874,81.2152
Jaffna,2026-05-11,22,3.7678846068212413,False,0.022307796282006354,0.6214625147956312,21.0,78.04999999999994,29.58142857142857,79.58714285714287,583882,9.6615,80.0255
Mullaitivu,2026-05-11,1,1.0841518679936686,False,0.015180902491055494,0.22467349339000015,2.0,118.0,29.13714285714286,81.60000000000001,92238,9.267,80.8142
Polonnaruwa,2026-05-11,13,3.2012765705955357,False,0.01172017391124771,0.5190524910102206,14.75,219.49000000000012,27.70285714285714,86.92999999999999,406088,7.9403,81.0188
Mannar,2026-05-11,4,4.017274279401426,False,0.005675850762106117,0.6498647012680229,2.25,93.77,29.027142857142856,81.50571428571428,99570,8.981,79.9044
Puttalam,2026-05-11,13,1.7051506041479756,False,0.002686382339487178,0.10025776683378647,17.25,200.9999999999999,27.96857142857143,85.64999999999999,762396,8.0362,79.8283
Vavuniya,2026-05-11,5,2.9050344246579325,False,0.002468085023933863,0.10449315128125505,1.75,147.41000000000005,28.104285714285712,85.21285714285715,172115,8.7514,80.4971
Matale,2026-05-11,11,2.2702365792900765,False,0.0020001430268095665,0.3118413574196491,11.5,265.61999999999995,25.684285714285714,89.89,484531,7.4675,80.6234
Badulla,2026-05-11,20,2.452768869457509,False,0.001562119431291433,0.0878120907868569,15.0,193.94999999999993,25.505714285714284,88.34,815405,6.9934,81.055
Kurunegala,2026-05-11,45,2.7804123042512505,False,0.0009159065273402922,0.061620171545206166,42.25,265.61999999999995,25.684285714285714,89.89,1618465,7.4863,80.3647
Kilinochchi,2026-05-11,2,1.761959298740199,False,0.0005488806874828326,0.05030626633261303,1.5,118.0,29.13714285714286,81.60000000000001,113510,9.3803,80.377
NuwaraEliya,2026-05-11,9,1.2646772824614554,False,0.0005072228882317338,0.004851176081422847,6.75,250.36000000000013,23.43,92.57000000000001,711644,6.9497,80.7891
Anuradhapura,2026-05-11,7,0.813409638904221,False,0.000342613242964785,0.0066708040753418315,10.25,175.63000000000005,27.068571428571428,88.54714285714286,860575,8.3114,80.4037
Ampara,2026-05-11,5,0.7699391132149269,False,0.00010242446202262793,0.006178042308999538,9.25,136.45,28.88,81.76,649402,7.2917,81.6747
